dC1        dC2        P1         P2         P3         C1         C2         D          N          Stabile    Residuo          Eigenvalues 7D (Re + Im j)                                                                                    
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.8377     0.6314     0.5427     0.2726     0.3692     0.0699     0.0699     5.1337     0.0421     SI         0.0000000000     -2.239871+0.000000j | -0.018206+0.177892j | -0.018206-0.177892j | -0.005421+0.079708j | -0.005421-0.079708j | +0.000000+0.000000j | -0.000000+0.000000j
0.9194     0.7853     1.9155     1.6394     0.9054     0.0233     0.0233     1.9891     0.0040     SI         0.0000000016     -9.841226+0.000000j | -0.003839+0.052149j | -0.003839-0.052149j | -0.006876+0.021012j | -0.006876-0.021012j | +0.000000+0.000000j | +0.000000+0.000000j
0.9934     0.5214     0.4910     0.0745     0.1930     0.0730     0.0730     5.5306     0.0649     SI         0.0000000333     -1.433996+0.000000j | -0.032471+0.243824j | -0.032471-0.243824j | -0.003006+0.080157j | -0.003006-0.080157j | +0.000000+0.000000j | +0.000000+0.000000j
0.7233     0.7113     0.5452     0.5328     0.5161     0.0661     0.0661     4.7432     0.0304     SI         0.0000000000     -2.960920+0.000000j | -0.011526+0.138599j | -0.011526-0.138599j | -0.006779+0.071822j | -0.006779-0.071822j | -0.000000+0.000000j | -0.000000+0.000000j
0.8304     0.8141     1.6223     1.8571     0.9636     0.0244     0.0244     2.0040     0.0042     SI         0.0000000078     -9.454595+0.000000j | -0.003412+0.051716j | -0.003412-0.051716j | -0.007330+0.022186j | -0.007330-0.022186j | +0.000000+0.000000j | +0.000000+0.000000j
0.6916     0.8351     0.9704     1.6726     0.9145     0.0375     0.0375     2.8595     0.0080     SI         0.0000000053     -7.038962+0.000000j | -0.003683+0.065977j | -0.003683-0.065977j | -0.007796+0.033863j | -0.007796-0.033863j | -0.000000+0.000000j | +0.000000+0.000000j
1.2595     0.5380     0.9064     0.0612     0.1749     0.0579     0.0579     5.2059     0.0357     NO         0.0000019450     -2.713368+0.000000j | -0.018606+0.167380j | -0.018606-0.167380j | -0.001872+0.047793j | -0.001872-0.047793j | -0.000000+0.000000j | +0.000003+0.000000j
1.4073     0.5762     1.7213     0.1102     0.2347     0.0437     0.0437     4.3308     0.0157     SI         0.0000016576     -5.402637+0.000000j | -0.011006+0.097781j | -0.011006-0.097781j | -0.002074+0.029398j | -0.002074-0.029398j | +0.000000+0.000000j | -0.000001+0.000000j
1.2463     0.6602     2.3094     0.5613     0.5298     0.0318     0.0318     3.0288     0.0071     SI         0.0000000005     -8.440489+0.000000j | -0.006800+0.069288j | -0.006800-0.069288j | -0.004481+0.024909j | -0.004481-0.024909j | +0.000000+0.000000j | +0.000000+0.000000j
1.0703     0.6526     1.1866     0.3952     0.4446     0.0505     0.0505     4.3540     0.0185     SI         0.0000000004     -4.574143+0.000000j | -0.009915+0.118340j | -0.009915-0.118340j | -0.004621+0.046502j | -0.004621-0.046502j | +0.000000+0.000000j | +0.000000+0.000000j
1.1246     0.6414     1.2946     0.3571     0.4225     0.0488     0.0488     4.3107     0.0175     SI         0.0000000020     -4.803361+0.000000j | -0.009887+0.114509j | -0.009887-0.114509j | -0.004277+0.043504j | -0.004277-0.043504j | +0.000000+0.000000j | +0.000000+0.000000j
1.2771     0.5331     0.9098     0.0524     0.1618     0.0577     0.0577     5.2244     0.0361     NO         0.0000041974     -2.690757+0.000000j | -0.018846+0.167710j | -0.018846-0.167710j | -0.001698+0.046109j | -0.001698-0.046109j | -0.000000+0.000000j | +0.000007+0.000000j
1.0173     0.7364     1.8927     1.0919     0.7389     0.0309     0.0309     2.7084     0.0063     SI         0.0000000001     -8.476573+0.000000j | -0.005169+0.067249j | -0.005169-0.067249j | -0.006036+0.026502j | -0.006036-0.026502j | -0.000000+0.000000j | -0.000000+0.000000j
